,"molicaer","nardstri","festrubr","brizmed","anthodor","siegdecu","holclana","agrospp.","festprat","cynocris","descespi","poaprate","festovin","avenpube","carepani","carepale","carepuli","careumbr","carestel","carelepo","carepilu","carenigr","careflav","carehirt","carehart","luzumult","junceffu","scirsylv","lathprat","lychflos","cirspalu","selicarv","ranunemo","ranuauri","poteerec","lysivulg","achiptar","angesilv","senerivu","mentarve","myospalu","centjace","rumeacet","scorhumi","prunvulg","vicicrac","sangoffi","ajugrept","galibore","galiulig","galipalu","ranuacer","valedioi","saliauri","equiarve","equipalu","planlanc","leonhisp","taraoffi","pedisilv","pimpmajo","verocham","verooffi","alchvulg","stelgram","betooffi","hierumbe","epilpalu","epilcili","trifdubi","succprat","ceravulg","cardprat","serrtinc","pinusylv","dactmaja","querrobu","ranuflam","pseupuru","aulapalu","brachyte","climdend","rhitsqua","hylosple","sphagnum","pleuschr"
"r96p15",45,3,2,0,7,0,0,2,4,0,0,0,10,0,7,10,0,0,0,0,7,0,0,0,4,2,2,0,2,0,4,0,0,2,7,6,4,3,0,0,0,0,0,1,0,0,0,0,5,1,0,0,4,0,0,1,0,0,0,0,0,10,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0.5,0,0,0,0
"r96p16",0,3,15,8,5,3,25,2,15,5,2,0,7,0,10,18,0,0,0,0,5,0,0,0,5,7,4,0,0,0,3,3,0,0,10,2,2,2,0,0,8,0,0,2,8,0,0,0,5,1,5,1,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,1,5,15,3,0,0
"r96p17",1,7,7,4,5,0,35,7,5,0,0,0,20,3,8,20,2,3,0,0,5,2,0,0,0,5,2,0,2,0,0,0,1,0,15,0,0,2,0,0,5,0,0,4,3,0,0,0,25,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"r96p18",40,2,18,2,3,0,12,10,8,2,3,2,3,0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0.5,0,2,0,0,0,0,0,0,0,0,0.5,0,0,0
"r96p19",0,0,25,5,5,0,5,7,8,0,0,8,4,0,5,5,0,0,0,0,2,0,0,0,3,2,5,0,1,0,0,0,0,0,10,0,20,3,0,0,25,0,2,0,0,0,0,0,10,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0
"r96p20",25,10,5,5,7,0,10,7,5,0,2,0,5,0,2,8,1,0,0,0,3,0,0,0,0,4,3,0,2,3,7,1,2,0,5,3,0,0,0,0,3,2,1,2,2,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0,10,10,0,0,0
"r96p21",0.5,8,5,4,0,0,18,18,0,2,0,0,25,0,1,10,0,0,0,0,3,1,0,0,0,8,1,0,0,0,1,1,2,0,15,0,0,0,0,0,0,0,1,5,10,0,0,0,5,1,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,3,3,0.5,0,0,0,0,0,0,0,0,2,0,0,35,0,0,5,0,0,0
"r96p22",50,0,10,0,0,0,0,0,0,0,30,2,4,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,3,0,1,10,0,0,25,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
"r96p23",2,3,10,1,3,0,25,10,20,0,25,3,1,0,3,7,0,0,0,0,2,1,0,0,0,0,3,0,2,3,0,1,1,5,10,0,0,0,0,0,7,0,2,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,3,0,0,0,0,0,0,0,0.2,0,0,0,1,0,0,0
"r96p24",60,0,0,5,0,0,5,7,10,0,0,5,10,0,0,8,0,1,0,0,1,0,0,0,2,2,2,0,0,0,0,0,2,0,10,0,0,1,0,0,7,5,5,3,0,0,0,0,10,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,2,1,0,0,0
